id,name,category,source,lat,lon,wikidata_qid,matched_wikipedia_title,grounding_text,grounding_distance_m,boundary_municipality,grounding_status
wikidata:Ponte do Guandu:-22.87226:-43.67706,Ponte do Guandu,heritage_site,wikidata,-22.8722557,-43.677064,Q10351458,,,,,no_match
overture:Memorial Bernardo Monteverde:-22.91124:-43.17794,Memorial Bernardo Monteverde,history_museum,overture,-22.911237716674805,-43.17793655395508,,,,,,no_match
overture:Centro Cultural Cândido José de Araújo:-22.89560:-43.19220,Centro Cultural Cândido José de Araújo,cultural_center,overture,-22.895601272583008,-43.192203521728516,,,,,,no_match
overture:Submarino Museu Riachuelo:-22.90412:-43.17204,Submarino Museu Riachuelo,museum,overture,-22.90412139892578,-43.17204284667969,,,,,,no_match
overture:Estátua de João Cândido:-22.90216:-43.17340,Estátua de João Cândido,landmark_and_historical_building,overture,-22.902158737182617,-43.173397064208984,,,,,,no_match
overture:Museu da Cultura Puri:-22.91428:-43.19998,Museu da Cultura Puri,art_museum,overture,-22.914276123046875,-43.199981689453125,,,,,,no_match
overture:Casa dos Açores:-22.92093:-43.22099,Casa dos Açores,cultural_center,overture,-22.92093276977539,-43.22099304199219,,,,,,no_match
overture:TK Souvenir:-22.92209:-43.17625,TK Souvenir,museum,overture,-22.922090530395508,-43.176246643066406,,,,,,no_match
overture:Museu Histórico da Cidade do Rio de Janeiro:-22.98120:-43.24038,Museu Histórico da Cidade do Rio de Janeiro,museum,overture,-22.981197357177734,-43.240379333496094,,,,,,no_match
overture:Associação Cultural Grupo Afrolaje:-22.90385:-43.30330,Associação Cultural Grupo Afrolaje,cultural_center,overture,-22.903852462768555,-43.30330276489258,,,,,,no_match
overture:Exposição Pessach:-22.93586:-43.18978,Exposição Pessach,art_museum,overture,-22.935863494873047,-43.189781188964844,,,,,,no_match
overture:Coreto de Sepetiba Rj:-22.97089:-43.70963,Coreto de Sepetiba Rj,landmark_and_historical_building,overture,-22.97089385986328,-43.70962905883789,,,,,,no_match
overture:Areninha Cultural Joao Bosco de Vista Alegre:-22.83230:-43.31245,Areninha Cultural Joao Bosco de Vista Alegre,cultural_center,overture,-22.83230209350586,-43.31244659423828,,,,,,no_match
overture:Museu do Cárcere:-23.02817:-43.46785,Museu do Cárcere,history_museum,overture,-23.02817153930664,-43.46785354614258,,,,,,no_match
overture:Jaime Arôxa Lapa - Centro Cultural Arariboia:-22.90763:-43.18428,Jaime Arôxa Lapa - Centro Cultural Arariboia,cultural_center,overture,-22.907634735107422,-43.18428039550781,,,,,,no_match
overture:Instituto Antônio Carlos Jobim:-22.97061:-43.22487,Instituto Antônio Carlos Jobim,cultural_center,overture,-22.970609664916992,-43.22486877441406,,,,,,no_match
overture:Casa Roberto Marinho:-22.94003:-43.20423,Casa Roberto Marinho,modern_art_museum,overture,-22.940027236938477,-43.204227447509766,,,,,,no_match
overture:Casa Subversa:-22.90691:-43.18388,Casa Subversa,cultural_center,overture,-22.906911849975586,-43.183876037597656,,,,,,no_match
overture:Espaço Sequência:-22.92347:-43.20695,Espaço Sequência,museum,overture,-22.923473358154297,-43.206947326660156,,,,,,no_match
overture:Museu da Força Expedicionária Brasileira:-22.91225:-43.17831,Museu da Força Expedicionária Brasileira,museum,overture,-22.91225242614746,-43.17831039428711,,,,,,no_match
overture:Ictiologia Museu Nacional:-22.90792:-43.22490,Ictiologia Museu Nacional,museum,overture,-22.907922744750977,-43.22489929199219,,,,,,no_match
wikidata:Lago do Campo de Santana:-22.90759:-43.18802,Lago do Campo de Santana,heritage_site,wikidata,-22.9075885,-43.188024,Q67205544,Campo de Santana (Rio de Janeiro),"O Campo de Santana, também conhecido como Praça da República, é um parque localizado no Centro do município do Rio de Janeiro, no estado do Rio de Janeiro, no Brasil. O nome da praça é uma referência ao fato de ela se localizar nas proximidades de onde ocorreu a proclamação da República do Brasil em 1889.",118,Rio de Janeiro,ok
overture:Aqueduto - Ilha Grande:-22.93612:-43.24556,Aqueduto - Ilha Grande,monument,overture,-22.93612289428711,-43.24556350708008,,,,,,no_match
overture:Museu Histórico do Exército:-22.98578:-43.18667,Museu Histórico do Exército,history_museum,overture,-22.98578453063965,-43.186668395996094,,,,,,no_match
overture:Centro Cultural Omo Yoruba:-22.89212:-43.34472,Centro Cultural Omo Yoruba,cultural_center,overture,-22.89212417602539,-43.34471893310547,,,,,,no_match
overture:Parque das Ruínas:-22.91780:-43.18232,Parque das Ruínas,landmark_and_historical_building,overture,-22.917797088623047,-43.182315826416016,,,,,,no_match
overture:Barracão da Unidos do Viradouro:-22.89993:-43.20647,Barracão da Unidos do Viradouro,topic_concert_venue,overture,-22.899932861328125,-43.20647048950195,,,,,,no_match
overture:Arcos Da Lapa - Vida Boemia Do Rio De Janeiro:-22.91295:-43.18325,Arcos Da Lapa - Vida Boemia Do Rio De Janeiro,landmark_and_historical_building,overture,-22.912952423095703,-43.18324661254883,,,,,,no_match
overture:Escola de Samba Portela:-22.87094:-43.34318,Escola de Samba Portela,topic_concert_venue,overture,-22.87093734741211,-43.34318161010742,,,,,,no_match
overture:Telhadão do Tuiuti:-22.89895:-43.23426,Telhadão do Tuiuti,topic_concert_venue,overture,-22.89894676208496,-43.23426055908203,,,,,,no_match
overture:Joao e Maria Museum:-22.90084:-43.18162,Joao e Maria Museum,museum,overture,-22.900840759277344,-43.18162155151367,,,,,,no_match
overture:Casarão Cultural dos Arcos:-22.91343:-43.18073,Casarão Cultural dos Arcos,landmark_and_historical_building,overture,-22.913434982299805,-43.18073272705078,,,,,,no_match
overture:Escadaria da Marechal Mascarenhas de Morais:-22.96413:-43.18336,Escadaria da Marechal Mascarenhas de Morais,landmark_and_historical_building,overture,-22.964126586914062,-43.1833610534668,,,,,,no_match
"overture:Grande Méier - Engenho Novo, RJ:-22.90448:-43.26954","Grande Méier - Engenho Novo, RJ",monument,overture,-22.904478073120117,-43.269535064697266,,,,,,no_match
overture:Biblioteca do Museu Nacional da UFRJ:-22.90836:-43.22607,Biblioteca do Museu Nacional da UFRJ,museum,overture,-22.908361434936523,-43.22606658935547,,,,,,no_match
overture:Memorial Guido Schäffer:-22.90837:-43.17123,Memorial Guido Schäffer,monument,overture,-22.90836524963379,-43.171234130859375,,,,,,no_match
overture:Casa Carnaval | Centro:-22.90166:-43.17522,Casa Carnaval | Centro,cultural_center,overture,-22.901662826538086,-43.17522430419922,,,,,,no_match
overture:Museu Africano Rio de Janeiro:-22.96817:-43.18468,Museu Africano Rio de Janeiro,museum,overture,-22.96817398071289,-43.18467712402344,,,,,,no_match
overture:GRES União da Ilha do Governador:-22.81377:-43.18890,GRES União da Ilha do Governador,topic_concert_venue,overture,-22.813766479492188,-43.188899993896484,,,,,,no_match
overture:MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro:-22.91072:-43.18043,MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro,art_museum,overture,-22.910724639892578,-43.18042755126953,,,,,,no_match
overture:Museu de Arte Sacra:-22.97358:-43.20780,Museu de Arte Sacra,museum,overture,-22.973583221435547,-43.207801818847656,,,,,,no_match
overture:Lona Cultural Terra Caetano Veloso:-22.83997:-43.37852,Lona Cultural Terra Caetano Veloso,cultural_center,overture,-22.839969635009766,-43.37852478027344,,,,,,no_match
overture:Museu de Bangu:-22.87881:-43.46346,Museu de Bangu,museum,overture,-22.878812789916992,-43.46345901489258,,,,,,no_match
overture:Museu Do Passo Imperial:-22.83699:-43.28207,Museu Do Passo Imperial,history_museum,overture,-22.836990356445312,-43.282073974609375,,,,,,no_match
wikidata:edifício-sede da Associação Brasileira de Imprensa:-22.90915:-43.17484,edifício-sede da Associação Brasileira de Imprensa,heritage_site,wikidata,-22.90915,-43.17484,Q18275922,,,,,no_match
overture:Quinta da Boa Vista - Museu Nacional:-22.92644:-43.21583,Quinta da Boa Vista - Museu Nacional,museum,overture,-22.926443099975586,-43.2158317565918,,,,,,no_match
overture:Fórum de Ciência e Cultura da UFRJ:-22.94284:-43.17472,Fórum de Ciência e Cultura da UFRJ,cultural_center,overture,-22.942842483520508,-43.174720764160156,,,,,,no_match
overture:Cultura Conecta:-22.89334:-43.17909,Cultura Conecta,museum,overture,-22.893342971801758,-43.17909240722656,,,,,,no_match
overture:Praça Inhangá Copacabana:-22.96602:-43.18147,Praça Inhangá Copacabana,topic_concert_venue,overture,-22.966018676757812,-43.18147277832031,,,,,,no_match
overture:Espaço Cultural Escola Sesc:-22.96029:-43.35923,Espaço Cultural Escola Sesc,cultural_center,overture,-22.96029281616211,-43.359230041503906,,,,,,no_match
overture:Centro Cultural Prof Dila:-22.89694:-43.35447,Centro Cultural Prof Dila,cultural_center,overture,-22.896940231323242,-43.354469299316406,,,,,,no_match
overture:BAC - Barracão de Arte e Cultura Sepetiba:-22.96741:-43.69054,BAC - Barracão de Arte e Cultura Sepetiba,cultural_center,overture,-22.9674129486084,-43.6905403137207,,,,,,no_match
overture:Espaço Cultural Arlindo Cruz:-22.87435:-43.42841,Espaço Cultural Arlindo Cruz,topic_concert_venue,overture,-22.874351501464844,-43.42841339111328,,,,,,no_match
overture:Teatro do Liceu:-22.90725:-43.19314,Teatro do Liceu,topic_concert_venue,overture,-22.907245635986328,-43.193138122558594,,,,,,no_match
overture:Museu de Cera:-22.89328:-43.19242,Museu de Cera,history_museum,overture,-22.893280029296875,-43.192420959472656,,,,,,no_match
overture:Centro Cultural Educar:-22.88001:-43.25290,Centro Cultural Educar,cultural_center,overture,-22.8800106048584,-43.252899169921875,,,,,,no_match
overture:Centro Cultural Benjamin Peret:-22.91720:-43.17892,Centro Cultural Benjamin Peret,cultural_center,overture,-22.91719627380371,-43.17892074584961,,,,,,no_match
overture:Pequena África:-22.89813:-43.18748,Pequena África,cultural_center,overture,-22.89813232421875,-43.18748474121094,,,,,,no_match
overture:Centro Cultural Itaporã:-22.92054:-43.21086,Centro Cultural Itaporã,cultural_center,overture,-22.920541763305664,-43.21086120605469,,,,,,no_match
overture:Museu da Imagem e do Som:-22.97902:-43.18939,Museu da Imagem e do Som,art_museum,overture,-22.979015350341797,-43.189388275146484,,,,,,no_match
overture:Centro Cultural Sindicato dos Rodoviários do Município do Rio de Janeiro:-22.89964:-43.18770,Centro Cultural Sindicato dos Rodoviários do Município do Rio de Janeiro,cultural_center,overture,-22.89963722229004,-43.18770217895508,,,,,,no_match
wikidata:Rua do Catete:-22.92592:-43.17625,Rua do Catete,heritage_site,wikidata,-22.92592,-43.176251,Q10365024,,,,,no_match
overture:Centro Cultural Oduvaldo Viana Filho:-22.93027:-43.17459,Centro Cultural Oduvaldo Viana Filho,cultural_center,overture,-22.930269241333008,-43.17458724975586,,,,,,no_match
overture:Capacete Centro Cultural:-22.92139:-43.18113,Capacete Centro Cultural,cultural_center,overture,-22.9213924407959,-43.18112564086914,,,,,,no_match
overture:Centro Cultural do Capoeira Mestre Touro:-22.84566:-43.27918,Centro Cultural do Capoeira Mestre Touro,cultural_center,overture,-22.845664978027344,-43.27918243408203,,,,,,no_match
overture:Museu Histórico da Cidade do Rio de Janeiro (MHCRJ):-22.98046:-43.24163,Museu Histórico da Cidade do Rio de Janeiro (MHCRJ),history_museum,overture,-22.98046112060547,-43.24163055419922,,,,,,no_match
overture:Museu Nacional:-23.01977:-43.46478,Museu Nacional,museum,overture,-23.019765853881836,-43.46478271484375,,,,,,no_match
overture:Museu Nacional dos Povos Indígenas OBS: Apenas os jardins estão abertos!:-22.95188:-43.19114,Museu Nacional dos Povos Indígenas OBS: Apenas os jardins estão abertos!,museum,overture,-22.951879501342773,-43.19114303588867,,,,,,no_match
overture:Praça São Salvador:-22.93660:-43.17743,Praça São Salvador,landmark_and_historical_building,overture,-22.936595916748047,-43.177433013916016,,,,,,no_match
overture:Centro EcoCultural Sueli Pontes:-23.00124:-43.34104,Centro EcoCultural Sueli Pontes,cultural_center,overture,-23.001243591308594,-43.341041564941406,,,,,,no_match
overture:Havana Carioca rj:-22.91200:-43.18158,Havana Carioca rj,museum,overture,-22.912002563476562,-43.181583404541016,,,,,,no_match
wikidata:Fazenda do Capão do Bispo:-22.88317:-43.27814,Fazenda do Capão do Bispo,heritage_site,wikidata,-22.883174,-43.278144,Q83904475,,,,,no_match
overture:LaDQuim:-22.86524:-43.22918,LaDQuim,museum,overture,-22.86524200439453,-43.22917938232422,,,,,,no_match
overture:Museu de História Natural da Quinta da Boavista:-22.95443:-43.18161,Museu de História Natural da Quinta da Boavista,museum,overture,-22.95443344116211,-43.181610107421875,,,,,,no_match
overture:Centro Carnavalesco Onça Preta:-22.89941:-43.18793,Centro Carnavalesco Onça Preta,cultural_center,overture,-22.8994083404541,-43.18793487548828,,,,,,no_match
overture:Praça Paulo Da Portela Madureira:-22.86993:-43.49866,Praça Paulo Da Portela Madureira,topic_concert_venue,overture,-22.86992835998535,-43.4986572265625,,,,,,no_match
overture:Armazém Cultural das Artes:-22.89411:-43.19020,Armazém Cultural das Artes,cultural_center,overture,-22.894107818603516,-43.1901969909668,,,,,,no_match
overture:Casa do Recreio Arte e Cultura:-23.02154:-43.47924,Casa do Recreio Arte e Cultura,cultural_center,overture,-23.021535873413086,-43.47924041748047,,,,,,no_match
overture:Cristo Redentor - RJ:-22.91068:-43.65784,Cristo Redentor - RJ,landmark_and_historical_building,overture,-22.910680770874023,-43.6578369140625,,,,,,no_match
overture:Sala Cultural Mestra Joana Cavalcante:-22.89510:-43.57402,Sala Cultural Mestra Joana Cavalcante,topic_concert_venue,overture,-22.895103454589844,-43.57402038574219,,,,,,no_match
overture:Funarte:-22.90868:-43.17335,Funarte,cultural_center,overture,-22.908681869506836,-43.17334747314453,,,,,,no_match
overture:GRES Estácio de Sá:-22.91261:-43.20177,GRES Estácio de Sá,topic_concert_venue,overture,-22.912607192993164,-43.2017707824707,,,,,,no_match
overture:Centro Cultural do Ministério da Saúde (CCMS):-22.90504:-43.16882,Centro Cultural do Ministério da Saúde (CCMS),cultural_center,overture,-22.905038833618164,-43.168819427490234,,,,,,no_match
overture:Turismo Cultural no Bairro Imperial de São Cristóvão:-22.90526:-43.22335,Turismo Cultural no Bairro Imperial de São Cristóvão,history_museum,overture,-22.905258178710938,-43.223350524902344,,,,,,no_match
overture:Teatro Iracema de Alencar:-22.93350:-43.35720,Teatro Iracema de Alencar,topic_concert_venue,overture,-22.933502197265625,-43.35719680786133,,,,,,no_match
overture:CRAB Sebrae - Centro de Referencia do Artesanato Brasileiro:-22.90736:-43.18382,CRAB Sebrae - Centro de Referencia do Artesanato Brasileiro,cultural_center,overture,-22.90735626220703,-43.18382263183594,,,,,,no_match
overture:Casarao dos Prazeres:-22.92063:-43.18491,Casarao dos Prazeres,history_museum,overture,-22.92063331604004,-43.184906005859375,,,,,,no_match
overture:Estátua de Ibrahim Sued:-22.96770:-43.17858,Estátua de Ibrahim Sued,monument,overture,-22.967700958251953,-43.1785774230957,,,,,,no_match
overture:Centro Cultural Professor Horacio Macedo:-22.85841:-43.23224,Centro Cultural Professor Horacio Macedo,cultural_center,overture,-22.85840606689453,-43.232242584228516,,,,,,no_match
overture:Interser:-22.97412:-43.18854,Interser,museum,overture,-22.974117279052734,-43.188541412353516,,,,,,no_match
wikidata:Hangar de Zepelins do Aeroporto Bartolomeu de Gusmão:-22.92274:-43.70353,Hangar de Zepelins do Aeroporto Bartolomeu de Gusmão,heritage_site,wikidata,-22.922736,-43.703531,Q111922313,,,,,no_match
overture:Museu do Primeiro Reinado:-22.90461:-43.21698,Museu do Primeiro Reinado,history_museum,overture,-22.90460968017578,-43.216976165771484,,,,,,no_match
overture:Casa Cultural Manacá:-22.90875:-43.19495,Casa Cultural Manacá,cultural_center,overture,-22.908748626708984,-43.1949462890625,,,,,,no_match
overture:Museu do Samba:-22.90155:-43.24081,Museu do Samba,museum,overture,-22.90155029296875,-43.240806579589844,,,,,,no_match
overture:Terreirão Samba:-22.90768:-43.19609,Terreirão Samba,topic_concert_venue,overture,-22.907682418823242,-43.19609069824219,,,,,,no_match
overture:Laje Michael Jackson:-22.94713:-43.19484,Laje Michael Jackson,monument,overture,-22.947126388549805,-43.19483947753906,,,,,,no_match
overture:Areninha Carioca Hermeto Pascoal:-22.87733:-43.47283,Areninha Carioca Hermeto Pascoal,cultural_center,overture,-22.87732696533203,-43.47283172607422,,,,,,no_match
overture:Sambódromo:-22.96419:-43.17361,Sambódromo,landmark_and_historical_building,overture,-22.964191436767578,-43.173606872558594,,,,,,no_match
wikidata:Chafariz Rua do Riachuelo:-22.91505:-43.18637,Chafariz Rua do Riachuelo,heritage_site,wikidata,-22.91505,-43.186372,Q104906121,,,,,no_match
overture:Muretinha:-22.94349:-43.16000,Muretinha,monument,overture,-22.94349479675293,-43.15999984741211,,,,,,no_match
overture:Portão Monumental da Quinta da Boa Vista:-22.90462:-43.22036,Portão Monumental da Quinta da Boa Vista,monument,overture,-22.904624938964844,-43.220359802246094,,,,,,no_match
overture:MIS Museu da Imagem e do Som:-22.97893:-43.18943,MIS Museu da Imagem e do Som,museum,overture,-22.978931427001953,-43.18943405151367,,,,,,no_match
manual:Confeitaria Colombo,Confeitaria Colombo,landmark_and_historical_building,manual_curation,-22.9068,-43.1786,,,,,,no_match
overture:Centro Cultural Solar de Botafogo:-22.95633:-43.18626,Centro Cultural Solar de Botafogo,cultural_center,overture,-22.956327438354492,-43.18626403808594,,,,,,no_match
overture:Istituto Italiano di Cultura di Rio de Janeiro:-22.91024:-43.17163,Istituto Italiano di Cultura di Rio de Janeiro,cultural_center,overture,-22.910240173339844,-43.171630859375,,,,,,no_match
overture:Moinho Fluminense:-22.89627:-43.19144,Moinho Fluminense,landmark_and_historical_building,overture,-22.896270751953125,-43.191436767578125,,,,,,no_match
overture:Casa da Vo Catarina:-22.88673:-43.41344,Casa da Vo Catarina,monument,overture,-22.886730194091797,-43.41343688964844,,,,,,no_match
overture:Christ the Redeemer:-22.94047:-43.19849,Christ the Redeemer,museum,overture,-22.94046974182129,-43.198490142822266,,,,,,no_match
overture:Theatro Municipal do Rio de Janeiro:-22.88461:-43.29129,Theatro Municipal do Rio de Janeiro,topic_concert_venue,overture,-22.884613037109375,-43.291290283203125,,,,,,no_match
wikidata:Solar da Imperatriz:-22.96786:-43.24040,Solar da Imperatriz,heritage_site,wikidata,-22.9678611,-43.2403981,Q64847884,,,,,no_match
overture:Galaxion:-22.99656:-43.25963,Galaxion,museum,overture,-22.996559143066406,-43.2596321105957,,,,,,no_match
overture:Museu Casa Bumba Meu Boi:-22.85610:-43.47367,Museu Casa Bumba Meu Boi,museum,overture,-22.85610008239746,-43.473670959472656,,,,,,no_match
overture:Museu Fluminense FC:-22.93624:-43.18465,Museu Fluminense FC,museum,overture,-22.93624496459961,-43.18465042114258,,,,,,no_match
overture:Fio Cruz Museu da Vida:-22.87182:-43.56262,Fio Cruz Museu da Vida,museum,overture,-22.8718204498291,-43.562618255615234,,,,,,no_match
overture:Casa de Artes Paquetá:-22.75325:-43.11126,Casa de Artes Paquetá,cultural_center,overture,-22.753250122070312,-43.11125564575195,,,,,,no_match
overture:Centro Cultural da Caixa Econômica Federal:-22.90769:-43.17330,Centro Cultural da Caixa Econômica Federal,cultural_center,overture,-22.907690048217773,-43.173301696777344,,,,,,no_match
overture:Clube Militar:-22.95633:-43.16476,Clube Militar,landmark_and_historical_building,overture,-22.95632553100586,-43.16476058959961,,,,,,no_match
overture:Musehum:-22.92996:-43.17651,Musehum,museum,overture,-22.929960250854492,-43.176513671875,,,,,,no_match
overture:CASARTI Casa do Artista Independente:-22.82613:-43.31207,CASARTI Casa do Artista Independente,cultural_center,overture,-22.826129913330078,-43.31207275390625,,,,,,no_match
overture:Casa de Viseu:-22.84538:-43.30367,Casa de Viseu,cultural_center,overture,-22.845378875732422,-43.303672790527344,,,,,,no_match
overture:Feira de São Cristóvão:-22.90729:-43.22304,Feira de São Cristóvão,cultural_center,overture,-22.90729331970215,-43.22304153442383,,,,,,no_match
overture:Casa da Tia Ciata:-22.89803:-43.18751,Casa da Tia Ciata,cultural_center,overture,-22.898033142089844,-43.18750762939453,,,,,,no_match
overture:Museum of Tiles:-22.88507:-43.27763,Museum of Tiles,museum,overture,-22.885074615478516,-43.27762985229492,,,,,,no_match
overture:Leão Etíope do Méier:-22.90203:-43.27982,Leão Etíope do Méier,art_museum,overture,-22.90203285217285,-43.279823303222656,,,,,,no_match
overture:Museu Histórico da Cidade RJ:-22.89843:-43.34912,Museu Histórico da Cidade RJ,history_museum,overture,-22.898433685302734,-43.34912109375,,,,,,no_match
overture:Museu do Exercito:-22.91223:-43.23352,Museu do Exercito,museum,overture,-22.912229537963867,-43.2335205078125,,,,,,no_match
overture:Arena Carioca Jovelina Pérola Negra:-22.80884:-43.36195,Arena Carioca Jovelina Pérola Negra,cultural_center,overture,-22.808841705322266,-43.36194610595703,,,,,,no_match
overture:Centro de Arte Hélio Oiticica:-22.90593:-43.18338,Centro de Arte Hélio Oiticica,museum,overture,-22.905925750732422,-43.183380126953125,,,,,,no_match
overture:Casa Cultural da Nossa Gente:-22.89432:-43.28986,Casa Cultural da Nossa Gente,cultural_center,overture,-22.89432144165039,-43.28986358642578,,,,,,no_match
overture:Unidos Da Barra Da Tijuca:-23.00197:-43.34862,Unidos Da Barra Da Tijuca,cultural_center,overture,-23.001970291137695,-43.3486213684082,,,,,,no_match
overture:Jongo Da Serrinha:-22.86482:-43.33043,Jongo Da Serrinha,cultural_center,overture,-22.864816665649414,-43.33042907714844,,,,,,no_match
overture:Fla Memória:-22.97837:-43.21861,Fla Memória,museum,overture,-22.97837257385254,-43.218605041503906,,,,,,no_match
overture:Quadra da Portela:-22.87089:-43.34296,Quadra da Portela,cultural_center,overture,-22.870887756347656,-43.34295654296875,,,,,,no_match
overture:Teatro Bangu Shopping:-22.87868:-43.46589,Teatro Bangu Shopping,topic_concert_venue,overture,-22.878684997558594,-43.465885162353516,,,,,,no_match
overture:Valao de Jardim America:-22.80757:-43.32420,Valao de Jardim America,monument,overture,-22.807573318481445,-43.32420349121094,,,,,,no_match
overture:Memorial da Humanidade Ipharj:-22.81941:-43.39516,Memorial da Humanidade Ipharj,history_museum,overture,-22.81941032409668,-43.39516067504883,,,,,,no_match
overture:Centro Cultural Goiabeira Coisa & Tal:-23.00764:-43.29489,Centro Cultural Goiabeira Coisa & Tal,museum,overture,-23.007640838623047,-43.294891357421875,,,,,,no_match
overture:Teatro Brigitte Blair:-22.97797:-43.19111,Teatro Brigitte Blair,topic_concert_venue,overture,-22.977968215942383,-43.19111251831055,,,,,,no_match
overture:Fundação Teatro Municipal do Rio de Janeiro:-22.88058:-43.27799,Fundação Teatro Municipal do Rio de Janeiro,topic_concert_venue,overture,-22.880582809448242,-43.277992248535156,,,,,,no_match
wikidata:Alfândega do Rio de Janeiro:-22.90029:-43.17635,Alfândega do Rio de Janeiro,heritage_site,wikidata,-22.900285,-43.176353055,Q64363860,,,,,no_match
overture:Canhão da Ilha:-22.81095:-43.17722,Canhão da Ilha,monument,overture,-22.81095314025879,-43.177215576171875,,,,,,no_match
overture:Museu Cidade Olímpica:-22.89457:-43.29445,Museu Cidade Olímpica,history_museum,overture,-22.894573211669922,-43.29444885253906,,,,,,no_match
overture:Polo Praça XV:-22.90282:-43.17458,Polo Praça XV,art_museum,overture,-22.902820587158203,-43.174583435058594,,Praça XV (Rio de Janeiro),"A Praça XV, também conhecida como Praça XV de Novembro, Praça 15 de Novembro, Praça Quinze de Novembro, Praça 15 ou Praça Quinze, é uma praça situada no bairro do Centro, na Zona Central da cidade do Rio de Janeiro. Além de estar localizada na Rua Primeiro de Março, a praça integra a Orla Conde, um passeio público que margeia a Baía de Guanabara.
A praça, que existe desde o século XVI, foi reinaugurada no dia 29 de maio de 2016 após ser revitalizada. A revitalização da praça foi feita durante a gestão do prefeito Eduardo Paes no âmbito do Porto Maravilha, uma operação urbana que visa revitalizar a Zona Portuária do Rio de Janeiro.
No interior do logradouro, situam-se a Parada Praça XV do VLT Carioca e a Estação Praça XV do sistema de barcas operado pela CCR Barcas. Já nas imediações, situam-se diversos pontos de interesse de importância histórica e política, como o Paço Imperial e o Palácio Tiradentes. A praça também possui quatro monumentos históricos: o Chafariz do Mestre Valentim; a Estátua Equestre de Dom João VI; a Estátua Equestre do General Osório; e a Estátua do Almirante Negro.
Hoje, a Praça XV é considerada o coração do skateboarding no Rio de Janeiro. Embora o Decreto Municipal nº 17.746, de 22 de julho de 1999, tenha proibido a prática do esporte em praças, parques e jardins da cidade, o movimento de skatistas I Love XV conseguiu, em 2011, uma permissão da prefeitura para o uso da Praça XV como local de tráfego de skates em horários estipulados. No dia 8 de novembro de 2016, por meio de uma portaria, o presidente da Fundação Parques e Jardins concedeu autorização para o uso do skate na Praça XV e na Praça Marechal Âncora em qualquer horário.

A praça recebeu esse nome por homenagear o dia 15 de novembro de 1889, marcado pela Proclamação da República do Brasil. Nesse dia, foi instaurada a república federativa presidencialista no Brasil, em substituição à monarquia constitucional parlamentarista em vigor desde 1822.",128,Rio de Janeiro,ok
overture:Prédio onde morou Renato Russo:-22.98179:-43.20839,Prédio onde morou Renato Russo,landmark_and_historical_building,overture,-22.981792449951172,-43.20838928222656,,,,,,no_match
overture:Historico da espanha:-22.90984:-43.17579,Historico da espanha,history_museum,overture,-22.909835815429688,-43.175785064697266,,,,,,no_match
